_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-16,COVID319,M1,1,0,COVID,200,RNA_Wilk_CD4+T-cells_patient-C1A-mild_Up,,-16,23,18,28160,40,464,15,3.2,0.82,2353|2537|3437|4599|4600|4940|5610|9636|10346|10410|10561|10964|54739|55601|219285,FOS|IFI6|IFIT3|MX1|MX2|OAS3|EIF2AK2|ISG15|TRIM22|IFITM3|IFI44|IFI44L|XAF1|DDX60|SAMD9L,-13,0
1,-16,COVID287,M1,1,0,COVID,200,RNA_Wilk_NK-cells_patient-C1A-mild_Up,,-16,25,18,28160,34,464,14,3,0.79,2537|3437|4599|4600|4940|5610|6772|6966|9636|10561|10964|54739|54809|219285,IFI6|IFIT3|MX1|MX2|OAS3|EIF2AK2|STAT1|TRGC1|ISG15|IFI44|IFI44L|XAF1|SAMD9|SAMD9L,-13,0
1,-15,COVID295,M1,1,0,COVID,200,RNA_Wilk_NK-cells_patient-C4_Up,,-15,30,19,28160,24,464,12,2.6,0.74,3437|3507|4599|4938|4940|6772|9636|10346|10561|10964|54739|91543,IFIT3|IGHM|MX1|OAS1|OAS3|STAT1|ISG15|TRIM22|IFI44|IFI44L|XAF1|RSAD2,-12,0
1,-14,COVID275,M1,1,0,COVID,200,RNA_Wilk_Dendritic-cells_patient-C1B-severe_Up,,-14,40,20,28160,15,464,10,2.2,0.67,2537|3105|4599|4600|6772|10410|10581|10964|54739|58533,IFI6|HLA-A|MX1|MX2|STAT1|IFITM3|IFITM2|IFI44L|XAF1|SNX6,-11,0
1,-14,COVID042,M1,1,0,COVID,200,RNA_Sun_Calu-3_7h_Up,,-14,15,15,28160,63,464,16,3.4,0.85,3434|3437|4599|4600|4940|9636|10346|10561|10964|11274|27074|51513|54739|91543|94240|129607,IFIT1|IFIT3|MX1|MX2|OAS3|ISG15|TRIM22|IFI44|IFI44L|USP18|LAMP3|ETV7|XAF1|RSAD2|EPSTI1|CMPK2,-11,0
1,-14,COVID331,M1,1,0,COVID,200,RNA_Wilk_CD4+T-cells_patient-C6_Up,,-14,21,16,28160,38,464,13,2.8,0.77,3437|4599|4600|5610|6772|9636|10161|10346|10561|10964|54739|55601|219285,IFIT3|MX1|MX2|EIF2AK2|STAT1|ISG15|LPAR6|TRIM22|IFI44|IFI44L|XAF1|DDX60|SAMD9L,-11,0
1,-13,COVID315,M1,1,0,COVID,200,RNA_Wilk_CD8+T-cells_patient-C6_Up,,-13,19,15,28160,41,464,13,2.8,0.77,2537|3437|3669|4599|5610|6772|8519|9636|10561|10964|54739|55601|219285,IFI6|IFIT3|ISG20|MX1|EIF2AK2|STAT1|IFITM1|ISG15|IFI44|IFI44L|XAF1|DDX60|SAMD9L,-10,0
1,-13,COVID335,M1,1,0,COVID,200,RNA_Wilk_B-cells_patient-C1A-mild_Up,,-13,14,14,28160,63,464,15,3.2,0.82,2537|3437|3507|3512|3669|4599|4940|5610|6772|9636|10410|10561|10964|51056|54739,IFI6|IFIT3|IGHM|JCHAIN|ISG20|MX1|OAS3|EIF2AK2|STAT1|ISG15|IFITM3|IFI44|IFI44L|LAP3|XAF1,-10,0
1,-13,COVID303,M1,1,0,COVID,200,RNA_Wilk_CD8+T-cells_patient-C1A-mild_Up,,-13,32,17,28160,19,464,10,2.2,0.67,2537|3437|4599|4940|5610|6772|9636|10561|10964|54739,IFI6|IFIT3|MX1|OAS3|EIF2AK2|STAT1|ISG15|IFI44|IFI44L|XAF1,-10,0
1,-13,COVID354,M1,1,0,COVID,200,RNA_Zhang_NK-cells_severe-only_Up,,-13,18,14,28160,45,464,13,2.8,0.77,1154|1471|2207|3433|8743|9111|23586|51056|51191|51251|84875|91351|445815,CISH|CST3|FCER1G|IFIT2|TNFSF10|NMI|DDX58|LAP3|HERC5|NT5C3A|PARP10|DDX60L|PALM2AKAP2,-9.7,0
